timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1620200943754,19800,query2-1,200,OK,1 User: Azure Synapse Analytics (DW1000c) 1-1,text,true,,170903,0,1,1,null,19382,0,2232
1620200963570,17220,query2-2,200,OK,1 User: Azure Synapse Analytics (DW1000c) 1-1,text,true,,170903,0,1,1,null,16998,0,0
1620200980792,17301,query2-3,200,OK,1 User: Azure Synapse Analytics (DW1000c) 1-1,text,true,,170903,0,1,1,null,17035,0,0
1620200998096,4231,query7-1,200,OK,1 User: Azure Synapse Analytics (DW1000c) 1-1,text,true,,5106,0,1,1,null,4230,0,0
1620201002330,3899,query7-2,200,OK,1 User: Azure Synapse Analytics (DW1000c) 1-1,text,true,,5106,0,1,1,null,3898,0,0
1620201006230,4457,query7-3,200,OK,1 User: Azure Synapse Analytics (DW1000c) 1-1,text,true,,5106,0,1,1,null,4456,0,0
1620201010690,2542,query13-1,200,OK,1 User: Azure Synapse Analytics (DW1000c) 1-1,text,true,,43,0,1,1,null,2542,0,0
1620201013234,2565,query13-2,200,OK,1 User: Azure Synapse Analytics (DW1000c) 1-1,text,true,,43,0,1,1,null,2564,0,0
1620201015800,2533,query13-3,200,OK,1 User: Azure Synapse Analytics (DW1000c) 1-1,text,true,,43,0,1,1,null,2533,0,0
1620201018336,2096,query15-1,200,OK,1 User: Azure Synapse Analytics (DW1000c) 1-1,text,true,,1951,0,1,1,null,2094,0,0
1620201020435,2064,query15-2,200,OK,1 User: Azure Synapse Analytics (DW1000c) 1-1,text,true,,1951,0,1,1,null,2063,0,0
1620201022502,2099,query15-3,200,OK,1 User: Azure Synapse Analytics (DW1000c) 1-1,text,true,,1951,0,1,1,null,2098,0,0
1620201024601,2653,query26-1,200,OK,1 User: Azure Synapse Analytics (DW1000c) 1-1,text,true,,5151,0,1,1,null,2652,0,1
1620201027256,2414,query26-2,200,OK,1 User: Azure Synapse Analytics (DW1000c) 1-1,text,true,,5151,0,1,1,null,2413,0,0
1620201029672,2463,query26-3,200,OK,1 User: Azure Synapse Analytics (DW1000c) 1-1,text,true,,5151,0,1,1,null,2462,0,0
1620201032138,11111,query31-1,200,OK,1 User: Azure Synapse Analytics (DW1000c) 1-1,text,true,,16765,0,1,1,null,10275,0,0
1620201043252,10374,query31-2,200,OK,1 User: Azure Synapse Analytics (DW1000c) 1-1,text,true,,16765,0,1,1,null,9559,0,0
1620201053628,10196,query31-3,200,OK,1 User: Azure Synapse Analytics (DW1000c) 1-1,text,true,,16765,0,1,1,null,9518,0,0
1620201063829,4636,query33-1,200,OK,1 User: Azure Synapse Analytics (DW1000c) 1-1,text,true,,1607,0,1,1,null,4636,0,0
1620201068467,4687,query33-2,200,OK,1 User: Azure Synapse Analytics (DW1000c) 1-1,text,true,,1607,0,1,1,null,4687,0,1
1620201073157,4767,query33-3,200,OK,1 User: Azure Synapse Analytics (DW1000c) 1-1,text,true,,1607,0,1,1,null,4767,0,0
1620201077924,1149,query42-1,200,OK,1 User: Azure Synapse Analytics (DW1000c) 1-1,text,true,,793,0,1,1,null,1148,0,0
1620201079076,1082,query42-2,200,OK,1 User: Azure Synapse Analytics (DW1000c) 1-1,text,true,,793,0,1,1,null,1081,0,0
1620201080160,1090,query42-3,200,OK,1 User: Azure Synapse Analytics (DW1000c) 1-1,text,true,,793,0,1,1,null,1090,0,0
1620201081251,2051,query48-1,200,OK,1 User: Azure Synapse Analytics (DW1000c) 1-1,text,true,,10,0,1,1,null,2051,0,0
1620201083305,2051,query48-2,200,OK,1 User: Azure Synapse Analytics (DW1000c) 1-1,text,true,,10,0,1,1,null,2050,0,0
1620201085358,2047,query48-3,200,OK,1 User: Azure Synapse Analytics (DW1000c) 1-1,text,true,,10,0,1,1,null,2047,0,0
1620201087408,2577,query50-1,200,OK,1 User: Azure Synapse Analytics (DW1000c) 1-1,text,true,,11139,0,1,1,null,2449,0,0
1620201089987,2508,query50-2,200,OK,1 User: Azure Synapse Analytics (DW1000c) 1-1,text,true,,11139,0,1,1,null,2382,0,0
1620201092498,2565,query50-3,200,OK,1 User: Azure Synapse Analytics (DW1000c) 1-1,text,true,,11139,0,1,1,null,2435,0,1
