timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1620813586545,1161,query2-1,null 0,"java.sql.SQLException: Cannot create PoolableConnectionFactory ([Simba][SparkJDBCDriver](500593) Communication link failure. Failed to connect to server. Reason: HTTP Response code: 404, Error message: RESOURCE_DOES_NOT_EXIST: No cluster found matching: 0504-155012-sweep261.)",1 User: Azure Databricks (SQL Analytics) 1-1,text,false,,253,0,1,1,null,0,0,1161
1620813587722,117,query2-1,null 0,"java.sql.SQLException: Cannot create PoolableConnectionFactory ([Simba][SparkJDBCDriver](500593) Communication link failure. Failed to connect to server. Reason: HTTP Response code: 404, Error message: RESOURCE_DOES_NOT_EXIST: No cluster found matching: 0504-155012-sweep261.)",1 User: Azure Databricks (SQL Analytics) 1-1,text,false,,253,0,1,1,null,0,0,117
1620813587841,405,query2-1,null 0,"java.sql.SQLException: Cannot create PoolableConnectionFactory ([Simba][SparkJDBCDriver](500593) Communication link failure. Failed to connect to server. Reason: HTTP Response code: 404, Error message: RESOURCE_DOES_NOT_EXIST: No cluster found matching: 0504-155012-sweep261.)",1 User: Azure Databricks (SQL Analytics) 1-1,text,false,,253,0,1,1,null,0,0,405
1620813588253,140,query2,null 0,"java.sql.SQLException: Cannot create PoolableConnectionFactory ([Simba][SparkJDBCDriver](500593) Communication link failure. Failed to connect to server. Reason: HTTP Response code: 404, Error message: RESOURCE_DOES_NOT_EXIST: No cluster found matching: 0504-155012-sweep261.)",10 Concurrent User: Azure Databricks (SQL Analytics) 2-1,text,false,,253,0,1,1,null,0,0,140
1620813588395,457,query7,null 0,"java.sql.SQLException: Cannot create PoolableConnectionFactory ([Simba][SparkJDBCDriver](500593) Communication link failure. Failed to connect to server. Reason: HTTP Response code: 404, Error message: RESOURCE_DOES_NOT_EXIST: No cluster found matching: 0504-155012-sweep261.)",10 Concurrent User: Azure Databricks (SQL Analytics) 2-1,text,false,,253,0,1,1,null,0,0,457
1620813588854,118,query13,null 0,"java.sql.SQLException: Cannot create PoolableConnectionFactory ([Simba][SparkJDBCDriver](500593) Communication link failure. Failed to connect to server. Reason: HTTP Response code: 404, Error message: RESOURCE_DOES_NOT_EXIST: No cluster found matching: 0504-155012-sweep261.)",10 Concurrent User: Azure Databricks (SQL Analytics) 2-1,text,false,,253,0,1,1,null,0,0,118
1620813588974,129,query15,null 0,"java.sql.SQLException: Cannot create PoolableConnectionFactory ([Simba][SparkJDBCDriver](500593) Communication link failure. Failed to connect to server. Reason: HTTP Response code: 404, Error message: RESOURCE_DOES_NOT_EXIST: No cluster found matching: 0504-155012-sweep261.)",10 Concurrent User: Azure Databricks (SQL Analytics) 2-1,text,false,,253,0,1,1,null,0,0,129
1620813589256,131,query31,null 0,"java.sql.SQLException: Cannot create PoolableConnectionFactory ([Simba][SparkJDBCDriver](500593) Communication link failure. Failed to connect to server. Reason: HTTP Response code: 404, Error message: RESOURCE_DOES_NOT_EXIST: No cluster found matching: 0504-155012-sweep261.)",10 Concurrent User: Azure Databricks (SQL Analytics) 2-2,text,false,,253,0,2,2,null,0,0,130
1620813589104,532,query26,null 0,"java.sql.SQLException: Cannot create PoolableConnectionFactory ([Simba][SparkJDBCDriver](500593) Communication link failure. Failed to connect to server. Reason: HTTP Response code: 404, Error message: RESOURCE_DOES_NOT_EXIST: No cluster found matching: 0504-155012-sweep261.)",10 Concurrent User: Azure Databricks (SQL Analytics) 2-1,text,false,,253,0,2,2,null,0,0,532
1620813589389,248,query33,null 0,"java.sql.SQLException: Cannot create PoolableConnectionFactory ([Simba][SparkJDBCDriver](500593) Communication link failure. Failed to connect to server. Reason: HTTP Response code: 404, Error message: RESOURCE_DOES_NOT_EXIST: No cluster found matching: 0504-155012-sweep261.)",10 Concurrent User: Azure Databricks (SQL Analytics) 2-2,text,false,,253,0,2,2,null,0,0,248
1620813589641,141,query42,null 0,"java.sql.SQLException: Cannot create PoolableConnectionFactory ([Simba][SparkJDBCDriver](500593) Communication link failure. Failed to connect to server. Reason: HTTP Response code: 404, Error message: RESOURCE_DOES_NOT_EXIST: No cluster found matching: 0504-155012-sweep261.)",10 Concurrent User: Azure Databricks (SQL Analytics) 2-1,text,false,,253,0,2,2,null,0,0,141
1620813589643,153,query48,null 0,"java.sql.SQLException: Cannot create PoolableConnectionFactory ([Simba][SparkJDBCDriver](500593) Communication link failure. Failed to connect to server. Reason: HTTP Response code: 404, Error message: RESOURCE_DOES_NOT_EXIST: No cluster found matching: 0504-155012-sweep261.)",10 Concurrent User: Azure Databricks (SQL Analytics) 2-2,text,false,,253,0,2,2,null,0,0,153
1620813589784,127,query50,null 0,"java.sql.SQLException: Cannot create PoolableConnectionFactory ([Simba][SparkJDBCDriver](500593) Communication link failure. Failed to connect to server. Reason: HTTP Response code: 404, Error message: RESOURCE_DOES_NOT_EXIST: No cluster found matching: 0504-155012-sweep261.)",10 Concurrent User: Azure Databricks (SQL Analytics) 2-1,text,false,,253,0,2,2,null,0,0,127
1620813589798,115,query52,null 0,"java.sql.SQLException: Cannot create PoolableConnectionFactory ([Simba][SparkJDBCDriver](500593) Communication link failure. Failed to connect to server. Reason: HTTP Response code: 404, Error message: RESOURCE_DOES_NOT_EXIST: No cluster found matching: 0504-155012-sweep261.)",10 Concurrent User: Azure Databricks (SQL Analytics) 2-2,text,false,,253,0,2,2,null,0,0,114
1620813589913,140,query53,null 0,"java.sql.SQLException: Cannot create PoolableConnectionFactory ([Simba][SparkJDBCDriver](500593) Communication link failure. Failed to connect to server. Reason: HTTP Response code: 404, Error message: RESOURCE_DOES_NOT_EXIST: No cluster found matching: 0504-155012-sweep261.)",10 Concurrent User: Azure Databricks (SQL Analytics) 2-1,text,false,,253,0,2,2,null,0,0,140
1620813589914,142,query55,null 0,"java.sql.SQLException: Cannot create PoolableConnectionFactory ([Simba][SparkJDBCDriver](500593) Communication link failure. Failed to connect to server. Reason: HTTP Response code: 404, Error message: RESOURCE_DOES_NOT_EXIST: No cluster found matching: 0504-155012-sweep261.)",10 Concurrent User: Azure Databricks (SQL Analytics) 2-2,text,false,,253,0,2,2,null,0,0,142
1620813590058,115,query60,null 0,"java.sql.SQLException: Cannot create PoolableConnectionFactory ([Simba][SparkJDBCDriver](500593) Communication link failure. Failed to connect to server. Reason: HTTP Response code: 404, Error message: RESOURCE_DOES_NOT_EXIST: No cluster found matching: 0504-155012-sweep261.)",10 Concurrent User: Azure Databricks (SQL Analytics) 2-2,text,false,,253,0,2,2,null,0,0,115
1620813590054,121,query56,null 0,"java.sql.SQLException: Cannot create PoolableConnectionFactory ([Simba][SparkJDBCDriver](500593) Communication link failure. Failed to connect to server. Reason: HTTP Response code: 404, Error message: RESOURCE_DOES_NOT_EXIST: No cluster found matching: 0504-155012-sweep261.)",10 Concurrent User: Azure Databricks (SQL Analytics) 2-1,text,false,,253,0,2,2,null,0,0,121
1620813590175,109,query61,null 0,"java.sql.SQLException: Cannot create PoolableConnectionFactory ([Simba][SparkJDBCDriver](500593) Communication link failure. Failed to connect to server. Reason: HTTP Response code: 404, Error message: RESOURCE_DOES_NOT_EXIST: No cluster found matching: 0504-155012-sweep261.)",10 Concurrent User: Azure Databricks (SQL Analytics) 2-2,text,false,,253,0,3,3,null,0,0,109
1620813590176,123,query71,null 0,"java.sql.SQLException: Cannot create PoolableConnectionFactory ([Simba][SparkJDBCDriver](500593) Communication link failure. Failed to connect to server. Reason: HTTP Response code: 404, Error message: RESOURCE_DOES_NOT_EXIST: No cluster found matching: 0504-155012-sweep261.)",10 Concurrent User: Azure Databricks (SQL Analytics) 2-1,text,false,,253,0,3,3,null,0,0,123
1620813590252,111,query88,null 0,"java.sql.SQLException: Cannot create PoolableConnectionFactory ([Simba][SparkJDBCDriver](500593) Communication link failure. Failed to connect to server. Reason: HTTP Response code: 404, Error message: RESOURCE_DOES_NOT_EXIST: No cluster found matching: 0504-155012-sweep261.)",10 Concurrent User: Azure Databricks (SQL Analytics) 2-3,text,false,,253,0,3,3,null,0,0,111
1620813590285,109,query96,null 0,"java.sql.SQLException: Cannot create PoolableConnectionFactory ([Simba][SparkJDBCDriver](500593) Communication link failure. Failed to connect to server. Reason: HTTP Response code: 404, Error message: RESOURCE_DOES_NOT_EXIST: No cluster found matching: 0504-155012-sweep261.)",10 Concurrent User: Azure Databricks (SQL Analytics) 2-2,text,false,,253,0,2,2,null,0,0,109
1620813590301,106,query98,null 0,"java.sql.SQLException: Cannot create PoolableConnectionFactory ([Simba][SparkJDBCDriver](500593) Communication link failure. Failed to connect to server. Reason: HTTP Response code: 404, Error message: RESOURCE_DOES_NOT_EXIST: No cluster found matching: 0504-155012-sweep261.)",10 Concurrent User: Azure Databricks (SQL Analytics) 2-1,text,false,,253,0,1,1,null,0,0,106
1620813597256,182,query2,null 0,"java.sql.SQLException: Cannot create PoolableConnectionFactory ([Simba][SparkJDBCDriver](500593) Communication link failure. Failed to connect to server. Reason: HTTP Response code: 404, Error message: RESOURCE_DOES_NOT_EXIST: No cluster found matching: 0504-155012-sweep261.)",20 Concurrent User: Azure Databricks (SQL Analytics) 3-1,text,false,,253,0,1,1,null,0,0,182
1620813597440,157,query7,null 0,"java.sql.SQLException: Cannot create PoolableConnectionFactory ([Simba][SparkJDBCDriver](500593) Communication link failure. Failed to connect to server. Reason: HTTP Response code: 404, Error message: RESOURCE_DOES_NOT_EXIST: No cluster found matching: 0504-155012-sweep261.)",20 Concurrent User: Azure Databricks (SQL Analytics) 3-1,text,false,,253,0,1,1,null,0,0,157
1620813597599,173,query13,null 0,"java.sql.SQLException: Cannot create PoolableConnectionFactory ([Simba][SparkJDBCDriver](500593) Communication link failure. Failed to connect to server. Reason: HTTP Response code: 404, Error message: RESOURCE_DOES_NOT_EXIST: No cluster found matching: 0504-155012-sweep261.)",20 Concurrent User: Azure Databricks (SQL Analytics) 3-1,text,false,,253,0,1,1,null,0,0,173
1620813597773,159,query15,null 0,"java.sql.SQLException: Cannot create PoolableConnectionFactory ([Simba][SparkJDBCDriver](500593) Communication link failure. Failed to connect to server. Reason: HTTP Response code: 404, Error message: RESOURCE_DOES_NOT_EXIST: No cluster found matching: 0504-155012-sweep261.)",20 Concurrent User: Azure Databricks (SQL Analytics) 3-1,text,false,,253,0,1,1,null,0,0,159
1620813597936,109,query26,null 0,"java.sql.SQLException: Cannot create PoolableConnectionFactory ([Simba][SparkJDBCDriver](500593) Communication link failure. Failed to connect to server. Reason: HTTP Response code: 404, Error message: RESOURCE_DOES_NOT_EXIST: No cluster found matching: 0504-155012-sweep261.)",20 Concurrent User: Azure Databricks (SQL Analytics) 3-1,text,false,,253,0,1,1,null,0,0,109
1620813598047,108,query31,null 0,"java.sql.SQLException: Cannot create PoolableConnectionFactory ([Simba][SparkJDBCDriver](500593) Communication link failure. Failed to connect to server. Reason: HTTP Response code: 404, Error message: RESOURCE_DOES_NOT_EXIST: No cluster found matching: 0504-155012-sweep261.)",20 Concurrent User: Azure Databricks (SQL Analytics) 3-1,text,false,,253,0,1,1,null,0,0,108
1620813598156,131,query33,null 0,"java.sql.SQLException: Cannot create PoolableConnectionFactory ([Simba][SparkJDBCDriver](500593) Communication link failure. Failed to connect to server. Reason: HTTP Response code: 404, Error message: RESOURCE_DOES_NOT_EXIST: No cluster found matching: 0504-155012-sweep261.)",20 Concurrent User: Azure Databricks (SQL Analytics) 3-1,text,false,,253,0,2,2,null,0,0,131
1620813598288,105,query48,null 0,"java.sql.SQLException: Cannot create PoolableConnectionFactory ([Simba][SparkJDBCDriver](500593) Communication link failure. Failed to connect to server. Reason: HTTP Response code: 404, Error message: RESOURCE_DOES_NOT_EXIST: No cluster found matching: 0504-155012-sweep261.)",20 Concurrent User: Azure Databricks (SQL Analytics) 3-1,text,false,,253,0,2,2,null,0,0,105
1620813598395,109,query50,null 0,"java.sql.SQLException: Cannot create PoolableConnectionFactory ([Simba][SparkJDBCDriver](500593) Communication link failure. Failed to connect to server. Reason: HTTP Response code: 404, Error message: RESOURCE_DOES_NOT_EXIST: No cluster found matching: 0504-155012-sweep261.)",20 Concurrent User: Azure Databricks (SQL Analytics) 3-1,text,false,,253,0,2,2,null,0,0,109
1620813598505,104,query52,null 0,"java.sql.SQLException: Cannot create PoolableConnectionFactory ([Simba][SparkJDBCDriver](500593) Communication link failure. Failed to connect to server. Reason: HTTP Response code: 404, Error message: RESOURCE_DOES_NOT_EXIST: No cluster found matching: 0504-155012-sweep261.)",20 Concurrent User: Azure Databricks (SQL Analytics) 3-1,text,false,,253,0,2,2,null,0,0,104
