timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1620814910506,62152,query2-1,200,OK,1 User: Azure Databricks (SQL Analytics) 1-1,text,true,,100784,0,1,1,null,61726,0,9939
1620814972663,1890,query2-2,200,OK,1 User: Azure Databricks (SQL Analytics) 1-1,text,true,,100784,0,1,1,null,1881,0,0
1620814974555,1601,query2-3,200,OK,1 User: Azure Databricks (SQL Analytics) 1-1,text,true,,100784,0,1,1,null,1593,0,0
1620814976158,44711,query7-1,200,OK,1 User: Azure Databricks (SQL Analytics) 1-1,text,true,,6423,0,1,1,null,44538,0,0
1620815020869,3561,query7-2,200,OK,1 User: Azure Databricks (SQL Analytics) 1-1,text,true,,6423,0,1,1,null,3555,0,0
1620815024431,3505,query7-3,200,OK,1 User: Azure Databricks (SQL Analytics) 1-1,text,true,,6423,0,1,1,null,3500,0,0
1620815027938,41786,query13-1,200,OK,1 User: Azure Databricks (SQL Analytics) 1-1,text,true,,150,0,1,1,null,41626,0,0
1620815069727,4248,query13-2,200,OK,1 User: Azure Databricks (SQL Analytics) 1-1,text,true,,150,0,1,1,null,4243,0,0
1620815073980,3990,query13-3,200,OK,1 User: Azure Databricks (SQL Analytics) 1-1,text,true,,150,0,1,1,null,3985,0,0
1620815077973,8343,query15-1,200,OK,1 User: Azure Databricks (SQL Analytics) 1-1,text,true,,1466,0,1,1,null,8187,0,0
1620815086318,2437,query15-2,200,OK,1 User: Azure Databricks (SQL Analytics) 1-1,text,true,,1466,0,1,1,null,2433,0,0
1620815088760,2755,query15-3,200,OK,1 User: Azure Databricks (SQL Analytics) 1-1,text,true,,1466,0,1,1,null,2752,0,0
1620815091517,27973,query26-1,200,OK,1 User: Azure Databricks (SQL Analytics) 1-1,text,true,,6437,0,1,1,null,27776,0,0
1620815119491,3816,query26-2,200,OK,1 User: Azure Databricks (SQL Analytics) 1-1,text,true,,6437,0,1,1,null,3812,0,0
