timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1623412133638,63444,query2-1,200,OK,1 User: Azure Synapse Analytics (With Caching Enabled) 1-1,text,true,,170903,0,1,1,null,62816,0,1847
1623412197086,249,query2-2,200,OK,1 User: Azure Synapse Analytics (With Caching Enabled) 1-1,text,true,,170903,0,1,1,null,185,0,0
1623412197337,200,query2-3,200,OK,1 User: Azure Synapse Analytics (With Caching Enabled) 1-1,text,true,,170903,0,1,1,null,145,0,0
1623412197539,28992,query7-1,200,OK,1 User: Azure Synapse Analytics (With Caching Enabled) 1-1,text,true,,5106,0,1,1,null,28990,0,0
1623412226533,166,query7-2,200,OK,1 User: Azure Synapse Analytics (With Caching Enabled) 1-1,text,true,,5106,0,1,1,null,165,0,0
1623412226700,152,query7-3,200,OK,1 User: Azure Synapse Analytics (With Caching Enabled) 1-1,text,true,,5106,0,1,1,null,151,0,0
1623412226855,37190,query13-1,200,OK,1 User: Azure Synapse Analytics (With Caching Enabled) 1-1,text,true,,43,0,1,1,null,37190,0,0
1623412264050,197,query13-2,200,OK,1 User: Azure Synapse Analytics (With Caching Enabled) 1-1,text,true,,43,0,1,1,null,197,0,0
1623412264248,183,query13-3,200,OK,1 User: Azure Synapse Analytics (With Caching Enabled) 1-1,text,true,,43,0,1,1,null,183,0,0
1623412264433,16813,query15-1,200,OK,1 User: Azure Synapse Analytics (With Caching Enabled) 1-1,text,true,,1951,0,1,1,null,16812,0,0
1623412281246,145,query15-2,200,OK,1 User: Azure Synapse Analytics (With Caching Enabled) 1-1,text,true,,1951,0,1,1,null,144,0,0
1623412281395,138,query15-3,200,OK,1 User: Azure Synapse Analytics (With Caching Enabled) 1-1,text,true,,1951,0,1,1,null,137,0,0
1623412281534,14235,query26-1,200,OK,1 User: Azure Synapse Analytics (With Caching Enabled) 1-1,text,true,,5151,0,1,1,null,14235,0,0
1623412295773,168,query26-2,200,OK,1 User: Azure Synapse Analytics (With Caching Enabled) 1-1,text,true,,5151,0,1,1,null,167,0,0
1623412295943,157,query26-3,200,OK,1 User: Azure Synapse Analytics (With Caching Enabled) 1-1,text,true,,5151,0,1,1,null,156,0,0
1623412296103,125339,query31-1,200,OK,1 User: Azure Synapse Analytics (With Caching Enabled) 1-1,text,true,,16765,0,1,1,null,123606,0,0
1623412421443,299,query31-2,200,OK,1 User: Azure Synapse Analytics (With Caching Enabled) 1-1,text,true,,16765,0,1,1,null,296,0,0
1623412421744,284,query31-3,200,OK,1 User: Azure Synapse Analytics (With Caching Enabled) 1-1,text,true,,16765,0,1,1,null,279,0,0
1623412422029,25569,query33-1,200,OK,1 User: Azure Synapse Analytics (With Caching Enabled) 1-1,text,true,,1607,0,1,1,null,25569,0,0
